iter	Passed	Remaining
1351	7576	9235
1352	7580	9228
1353	7585	9220
1354	7589	9213
1355	7593	9206
1356	7597	9199
1357	7602	9191
1358	7606	9184
1359	7610	9177
1360	7614	9170
1361	7626	9172
1362	7634	9169
1363	7639	9162
1364	7651	9165
1365	7656	9158
1366	7660	9151
1367	7665	9144
1368	7669	9137
1369	7673	9129
1370	7677	9122
1371	7682	9115
1372	7686	9108
1373	7690	9100
1374	7694	9093
1375	7698	9086
1376	7702	9079
1377	7707	9071
1378	7711	9065
1379	7716	9058
1380	7721	9051
1381	7725	9044
1382	7729	9037
1383	7733	9030
1384	7738	9023
1385	7742	9015
1386	7746	9008
1387	7751	9002
1388	7756	8996
1389	7761	8990
1390	7766	8984
1391	7771	8977
1392	7775	8970
1393	7779	8963
1394	7784	8956
1395	7788	8949
1396	7792	8941
1397	7797	8934
1398	7801	8927
1399	7805	8920
1400	7809	8913
1401	7813	8906
1402	7818	8899
1403	7822	8892
1404	7826	8885
1405	7831	8878
1406	7835	8871
1407	7839	8864
1408	7844	8857
1409	7848	8850
1410	7854	8845
1411	7860	8839
1412	7864	8833
1413	7868	8826
1414	7873	8819
1415	7877	8811
1416	7882	8806
1417	7886	8798
1418	7891	8791
1419	7895	8785
1420	7899	8777
1421	7903	8770
1422	7908	8763
1423	7912	8757
1424	7916	8750
1425	7920	8743
1426	7925	8736
1427	7929	8729
1428	7933	8721
1429	7937	8715
1430	7942	8707
1431	7946	8701
1432	7950	8694
1433	7955	8687
1434	7959	8680
1435	7963	8673
1436	7967	8666
1437	7973	8660
1438	7977	8653
1439	7982	8647
1440	7986	8640
1441	7990	8633
1442	8002	8634
1443	8006	8627
1444	8010	8620
1445	8015	8613
1446	8020	8608
1447	8024	8601
1448	8029	8594
1449	8033	8587
1450	8037	8580
1451	8042	8573
1452	8046	8567
1453	8051	8561
1454	8140	8644
1455	8146	8638
1456	8152	8634
1457	8158	8628
1458	8164	8623
1459	8170	8618
1460	8176	8612
1461	8182	8607
1462	8187	8602
1463	8193	8596
1464	8199	8591
1465	8205	8586
1466	8217	8587
1467	8227	8586
1468	8232	8580
1469	8237	8573
1470	8242	8567
1471	8247	8560
1472	8251	8553
1473	8255	8547
1474	8260	8540
1475	8264	8533
1476	8269	8526
1477	8273	8519
1478	8277	8512
1479	8281	8505
1480	8286	8498
1481	8290	8491
1482	8294	8485
1483	8299	8478
1484	8303	8471
1485	8308	8464
1486	8312	8457
1487	8316	8450
1488	8321	8444
1489	8325	8437
1490	8330	8430
1491	8334	8423
1492	8338	8417
1493	8343	8410
1494	8347	8403
1495	8352	8396
1496	8357	8390
1497	8361	8383
1498	8365	8376
1499	8369	8369
1500	8377	8365
1501	8381	8359
1502	8385	8352
1503	8389	8345
1504	8394	8338
1505	8398	8331
1506	8402	8324
1507	8407	8317
1508	8411	8311
1509	8415	8304
1510	8420	8298
1511	8425	8291
1512	8429	8284
1513	8433	8277
1514	8438	8271
1515	8442	8264
1516	8447	8258
1517	8452	8251
1518	8456	8245
1519	8461	8238
1520	8465	8231
1521	8469	8225
1522	8474	8218
1523	8478	8211
1524	8483	8205
1525	8487	8198
1526	8491	8191
1527	8496	8184
1528	8500	8178
1529	8505	8171
1530	8509	8165
1531	8514	8158
1532	8518	8151
1533	8522	8144
1534	8527	8138
1535	8531	8131
1536	8535	8124
1537	8539	8117
1538	8544	8111
1539	8548	8104
1540	8553	8098
1541	8557	8091
1542	8562	8084
1543	8566	8078
1544	8571	8071
1545	8575	8065
1546	8579	8058
1547	8583	8051
1548	8588	8044
1549	8592	8038
1550	8596	8031
1551	8601	8024
1552	8605	8017
1553	8609	8011
1554	8619	8009
1555	8630	8009
1556	8639	8006
1557	8648	8004
1558	8658	8002
1559	8672	8005
1560	8680	8001
1561	8689	7999
1562	8697	7996
1563	8701	7989
1564	8706	7983
1565	8710	7976
1566	8714	7969
1567	8718	7962
1568	8722	7955
1569	8727	7949
1570	8732	7942
1571	8736	7935
1572	8740	7928
1573	8744	7922
1574	8749	7915
1575	8753	7909
1576	8757	7902
1577	8762	7895
1578	8766	7889
1579	8770	7882
1580	8775	7876
1581	8779	7869
1582	8783	7862
1583	8788	7856
1584	8792	7849
1585	8796	7842
1586	8801	7836
1587	8805	7829
1588	8809	7823
1589	8814	7816
1590	8818	7809
1591	8822	7803
1592	8826	7796
1593	8831	7789
1594	8835	7783
1595	8840	7776
1596	8844	7769
1597	8848	7763
1598	8852	7756
1599	8857	7750
1600	8862	7744
1601	8866	7737
1602	8871	7731
1603	8875	7724
1604	8880	7718
1605	8884	7711
1606	8888	7705
1607	8893	7698
1608	8897	7691
1609	8901	7685
1610	8905	7678
1611	8910	7672
1612	8914	7665
1613	8918	7658
1614	8923	7652
1615	8927	7645
1616	8931	7639
1617	8935	7632
1618	8940	7626
1619	8944	7619
1620	8948	7612
1621	8953	7606
1622	8957	7599
1623	8962	7593
1624	8966	7586
1625	8970	7580
1626	8974	7573
1627	8979	7567
1628	8984	7561
1629	8988	7554
1630	8992	7548
1631	8997	7541
1632	9001	7535
1633	9006	7528
